quote,topic
"Traffic is people who find you. Conversion is: within 3 seconds, are they convinced you're the person to do business with?",traffic-conversion
"Most people build award-winning websites. What they don't build is high-converting websites.",websites
"The bounce rate for most local business websites is 90%.",websites
"There are only three ways to get people to your website: paid traffic, organic free traffic, or borrowed traffic.",traffic-conversion
"A beautiful website that wins awards for the web designer is usually a negative indicator of how good it is at converting.",websites
"I've never met a millionaire that says, 'I want to make less money.'",money
"Show definitively that this is a problem, and if we solve it you'll make more money. That's the business I've created.",money
"You can't get rid of bad reviews. Just drown them out with good reviews.",reviews
"They can change the rules tomorrow. But when you own your own web address, then it's not going to change because you own it.",owned-media
"Social media is a walled garden. It doesn't live forever. But blog, podcast, and video content lives forever and gets indexed in Google.",owned-media
"It's easier to record and transcribe than it is to write. It's a shorter distance from your brain to your tongue than from your brain to your hands.",content
"Name 50 problems your company solves. People are searching for those problems — create content about that.",content
"We will give you the most thorough, amazing, unbelievable pest control service, guaranteed — or it's free.",headlines
"My headline trick: problem, agitate, next step.",headlines
"People will watch before they read. It's just human nature.",video
"When you hear marketing information set to melody 20 times, on the 21st time you'll never get it out of your subconscious.",jingles
"Keep your jingle to 15 seconds. Say your SER terms in the first 5 seconds — they can't reach the skip button fast enough.",jingles
"It's all about doing whatever you can to help people remember how to find you.",ser-terms
"It amazes me how many small business websites don't have tap-to-call.",tap-to-call
"Direct response marketing always beats image marketing.",marketing
"If you're not in it to make money, then enjoy your hobby.",money
"If you want to grow your business, grow your local internet presence.",presence
"Everything that took my skill set can now be done by AI — and it's scalable. It's never been scalable before.",ai
"Sell it once, and as long as they stay, you get paid.",business-model
"We created a simple website with one call to action — and went from zero to 80 grand in a summer.",websites
"300 customers is a million-dollar business. And every bit of it can be outsourced.",business-model
